Season,Player,Team,GP,MIN,PTS,FGA,FG%,3PA,3P%,FTA,FT%,REB,AST,STL,BLK,TOV
2025-26,Shai Gilgeous-Alexander,OKC,64,33.5,31.6,19.6,0.553,4.4,0.382,9.4,0.880,4.4,6.5,1.4,0.8,2.2
2025-26,Jalen Williams,OKC,30,28.5,17.3,13.8,0.482,2.4,0.301,4.0,0.824,4.5,5.3,1.2,0.3,1.9
2025-26,Chet Holmgren,OKC,65,29.3,17.0,11.4,0.551,3.5,0.348,4.1,0.799,8.9,1.7,0.6,1.8,1.6
2025-26,Ajay Mitchell,OKC,53,26.3,14.0,10.5,0.488,3.1,0.348,3.0,0.873,3.4,3.6,1.3,0.3,1.5
2025-26,Jared McCain,OKC,24,18.5,10.8,8.5,0.456,4.8,0.409,1.3,0.867,2.2,0.8,0.4,0.1,0.8
2025-26,Isaiah Joe,OKC,67,21.5,10.7,7.6,0.440,6.0,0.408,1.7,0.889,2.6,1.4,0.7,0.2,0.6
2025-26,Aaron Wiggins,OKC,59,22.3,9.8,8.5,0.433,4.3,0.359,1.2,0.743,3.2,1.7,0.9,0.4,1.3
2025-26,Isaiah Hartenstein,OKC,43,24.8,9.4,6.5,0.616,0.2,0.000,2.3,0.596,9.7,3.7,1.0,0.7,1.9
2025-26,Cason Wallace,OKC,73,26.8,8.6,7.6,0.433,3.7,0.343,0.9,0.803,3.1,2.6,2.0,0.4,1.0
2025-26,Luguentz Dort,OKC,63,27.3,8.3,7.7,0.377,5.4,0.332,0.9,0.759,3.7,1.2,0.8,0.4,0.8
2025-26,Jaylin Williams,OKC,61,20.0,7.4,5.6,0.424,4.1,0.379,1.4,0.793,5.6,2.4,0.5,0.7,1.1
2025-26,Kenrich Williams,OKC,50,15.1,6.4,5.0,0.488,2.2,0.400,1.0,0.640,3.2,1.3,0.6,0.1,0.8
2025-26,Alex Caruso,OKC,53,18.6,6.3,5.5,0.421,3.3,0.289,1.0,0.804,2.8,2.0,1.3,0.3,0.8
2025-26,Branden Carlson,OKC,37,10.3,4.6,3.4,0.449,1.2,0.318,0.8,0.759,2.5,0.6,0.2,0.5,0.4
2025-26,Ousmane Dieng,OKC,27,10.9,3.7,3.4,0.418,1.8,0.367,0.2,1.000,1.6,1.0,0.1,0.3,0.3
2025-26,Nikola Topic,OKC,5,10.6,3.2,3.2,0.438,1.0,0.400,0.0,0.000,1.6,2.0,0.0,0.0,2.2
2025-26,Chris Youngblood,OKC,32,5.4,2.0,1.9,0.333,1.6,0.314,0.3,0.900,0.9,0.3,0.1,0.1,0.1
2025-26,Payton Sandfort,OKC,2,3.5,2.0,2.5,0.200,2.0,0.250,1.0,0.500,1.0,0.0,0.0,0.0,0.5
2025-26,Buddy Boeheim,OKC,4,3.8,1.5,1.5,0.333,1.5,0.333,0.0,0.000,0.0,0.0,0.0,0.0,0.0
2025-26,Brooks Barnhizer,OKC,36,7.7,1.3,1.4,0.380,0.5,0.294,0.2,0.667,1.8,0.5,0.2,0.1,0.2
